input,output,instruction
dent research : is gold's day in the sun coming soon?,No,"Review the news headline and determine if it relates to price in the past.
Options: No, Yes"
dent research : is gold's day in the sun coming soon?,No,"Analyze the news headline for any mention of price in the future.
Options: Yes, No"
dent research : is gold's day in the sun coming soon?,No,"Assess if the news headline touches on a general event (apart from prices) in the past.
Options: No, Yes"
dent research : is gold's day in the sun coming soon?,Yes,"Analyze the news headline for any mention of a general event (apart from prices) in the future.
Options: Yes, No"
dent research : is gold's day in the sun coming soon?,No,"Consider the news headline - does it concern comparing gold with any other asset?
Options: No, Yes"
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,"Let me know if the news headline talks about price.
Options: No, Yes"
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",Yes,"Is the news headline related to price going up?
Options: No, Yes"
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,"Does the news headline talk about price staying constant? 
Options: Yes, No"
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,"Assess if the news headline touches on price going down.
Options: No, Yes"
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",Yes,"Please determine if the news headline addresses price in the past.
Options: No, Yes"
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,"In the context of the news headline, is price in the future discussed?
Options: No, Yes"
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,"Please determine if the news headline addresses a general event (apart from prices) in the past.
Options: Yes, No"
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,"Review the news headline and determine if it relates to a general event (apart from prices) in the future.
Options: Yes, No"
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,"Review the news headline and determine if it relates to comparing gold with any other asset.
Options: No, Yes"
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,"Is the news headline related to price?
Options: Yes, No"
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",Yes,"Analyze the news headline for any mention of price going up.
Options: Yes, No"
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,"Assess if the news headline touches on price staying constant.
Options: Yes, No"
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,"Interpret the news headline to see if it mentions price going down.
Options: Yes, No"
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",Yes,"Please determine if the news headline addresses price in the past.
Options: Yes, No"
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,"Analyze the news headline for any mention of price in the future.
Options: No, Yes"
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,"Assess if the news headline touches on a general event (apart from prices) in the past.
Options: Yes, No"
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,"Is the news headline related to a general event (apart from prices) in the future?
Options: No, Yes"
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,"Does the news headline talk about comparing gold with any other asset? 
Options: Yes, No"
"gold falls by rs 25 on sluggish demand, global cues",No,"Please determine if the news headline addresses price.
Options: No, Yes"
"gold falls by rs 25 on sluggish demand, global cues",No,"Consider the news headline - does it concern price going up?
Options: No, Yes"
"gold falls by rs 25 on sluggish demand, global cues",No,"Consider the news headline - does it concern price staying constant?
Options: Yes, No"
"gold falls by rs 25 on sluggish demand, global cues",Yes,"Does the news headline talk about price going down? 
Options: No, Yes"
"gold falls by rs 25 on sluggish demand, global cues",Yes,"In the context of the news headline, is price in the past discussed?
Options: No, Yes"
"gold falls by rs 25 on sluggish demand, global cues",No,"Does the news headline talk about price in the future? 
Options: No, Yes"
"gold falls by rs 25 on sluggish demand, global cues",No,"Does the news headline talk about a general event (apart from prices) in the past? 
Options: No, Yes"
"gold falls by rs 25 on sluggish demand, global cues",No,"Interpret the news headline to see if it mentions a general event (apart from prices) in the future.
Options: No, Yes"
"gold falls by rs 25 on sluggish demand, global cues",No,"Analyze the news headline for any mention of comparing gold with any other asset.
Options: No, Yes"
"Gold futures fall for the session, but gain for the week",No,"Examine the news headline and decide if it includes price.
Options: No, Yes"
"Gold futures fall for the session, but gain for the week",Yes,"Consider the news headline - does it concern price going up?
Options: No, Yes"
"Gold futures fall for the session, but gain for the week",No,"Does the news headline talk about price staying constant? 
Options: No, Yes"
"Gold futures fall for the session, but gain for the week",Yes,"Is the news headline related to price going down?
Options: No, Yes"
"Gold futures fall for the session, but gain for the week",Yes,"Please determine if the news headline addresses price in the past.
Options: Yes, No"
"Gold futures fall for the session, but gain for the week",No,"Is the news headline related to price in the future?
Options: No, Yes"
"Gold futures fall for the session, but gain for the week",No,"Interpret the news headline to see if it mentions a general event (apart from prices) in the past.
Options: No, Yes"
"Gold futures fall for the session, but gain for the week",No,"Review the news headline and determine if it relates to a general event (apart from prices) in the future.
Options: Yes, No"
"Gold futures fall for the session, but gain for the week",No,"Analyze the news headline for any mention of comparing gold with any other asset.
Options: No, Yes"
"Gold struggles; silver slides, base metals falter",Yes,"Let me know if the news headline talks about price.
Options: No, Yes"
"Gold struggles; silver slides, base metals falter",No,"Is the news headline related to price going up?
Options: No, Yes"
"Gold struggles; silver slides, base metals falter",Yes,"Interpret the news headline to see if it mentions price staying constant.
Options: Yes, No"
"Gold struggles; silver slides, base metals falter",No,"Consider the news headline - does it concern price going down?
Options: Yes, No"
"Gold struggles; silver slides, base metals falter",Yes,"In the context of the news headline, is price in the past discussed?
Options: No, Yes"
"Gold struggles; silver slides, base metals falter",No,"Review the news headline and determine if it relates to price in the future.
Options: Yes, No"
"Gold struggles; silver slides, base metals falter",No,"Does the news headline talk about a general event (apart from prices) in the past? 
Options: No, Yes"
"Gold struggles; silver slides, base metals falter",No,"Examine the news headline and decide if it includes a general event (apart from prices) in the future.
Options: No, Yes"
"Gold struggles; silver slides, base metals falter",Yes,"Let me know if the news headline talks about comparing gold with any other asset.
Options: Yes, No"
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,"Assess if the news headline touches on price.
Options: No, Yes"
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",Yes,"Interpret the news headline to see if it mentions price going up.
Options: No, Yes"
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,"Does the news headline talk about price staying constant? 
Options: No, Yes"
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,"In the context of the news headline, is price going down discussed?
Options: Yes, No"
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",Yes,"Review the news headline and determine if it relates to price in the past.
Options: Yes, No"
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,"Please determine if the news headline addresses price in the future.
Options: Yes, No"
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,"Interpret the news headline to see if it mentions a general event (apart from prices) in the past.
Options: No, Yes"
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,"Does the news headline talk about a general event (apart from prices) in the future? 
Options: Yes, No"
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,"Interpret the news headline to see if it mentions comparing gold with any other asset.
Options: Yes, No"
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,"Analyze the news headline for any mention of price.
Options: Yes, No"
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",Yes,"Interpret the news headline to see if it mentions price going up.
Options: Yes, No"
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,"Examine the news headline and decide if it includes price staying constant.
Options: Yes, No"
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,"In the context of the news headline, is price going down discussed?
Options: No, Yes"
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",Yes,"Assess if the news headline touches on price in the past.
Options: No, Yes"
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,"Consider the news headline - does it concern price in the future?
Options: No, Yes"
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,"Review the news headline and determine if it relates to a general event (apart from prices) in the past.
Options: Yes, No"
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,"In the context of the news headline, is a general event (apart from prices) in the future discussed?
Options: No, Yes"
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,"Assess if the news headline touches on comparing gold with any other asset.
Options: Yes, No"
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,"Analyze the news headline for any mention of price.
Options: Yes, No"
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,"Interpret the news headline to see if it mentions price going up.
Options: Yes, No"
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,"Analyze the news headline for any mention of price staying constant.
Options: No, Yes"
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",Yes,"Let me know if the news headline talks about price going down.
Options: Yes, No"
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",Yes,"Examine the news headline and decide if it includes price in the past.
Options: No, Yes"
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,"Does the news headline talk about price in the future? 
Options: No, Yes"
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,"Consider the news headline - does it concern a general event (apart from prices) in the past?
Options: No, Yes"
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,"Is the news headline related to a general event (apart from prices) in the future?
Options: No, Yes"
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,"Interpret the news headline to see if it mentions comparing gold with any other asset.
Options: Yes, No"
"gold loses 1.3%, but logs monthly gain of 6.3%",No,"Examine the news headline and decide if it includes price.
Options: Yes, No"
"gold loses 1.3%, but logs monthly gain of 6.3%",Yes,"Does the news headline talk about price going up? 
Options: Yes, No"
"gold loses 1.3%, but logs monthly gain of 6.3%",No,"Analyze the news headline for any mention of price staying constant.
Options: Yes, No"
"gold loses 1.3%, but logs monthly gain of 6.3%",Yes,"Interpret the news headline to see if it mentions price going down.
Options: No, Yes"
"gold loses 1.3%, but logs monthly gain of 6.3%",Yes,"In the context of the news headline, is price in the past discussed?
Options: Yes, No"
"gold loses 1.3%, but logs monthly gain of 6.3%",No,"Please determine if the news headline addresses price in the future.
Options: Yes, No"
"gold loses 1.3%, but logs monthly gain of 6.3%",No,"In the context of the news headline, is a general event (apart from prices) in the past discussed?
Options: Yes, No"
"gold loses 1.3%, but logs monthly gain of 6.3%",No,"Review the news headline and determine if it relates to a general event (apart from prices) in the future.
Options: Yes, No"
"gold loses 1.3%, but logs monthly gain of 6.3%",No,"Review the news headline and determine if it relates to comparing gold with any other asset.
Options: No, Yes"
gold recovery? here's one way to play it,No,"Does the news headline talk about price? 
Options: Yes, No"
gold recovery? here's one way to play it,No,"Consider the news headline - does it concern price going up?
Options: Yes, No"
gold recovery? here's one way to play it,No,"Assess if the news headline touches on price staying constant.
Options: No, Yes"
gold recovery? here's one way to play it,No,"Examine the news headline and decide if it includes price going down.
Options: No, Yes"
gold recovery? here's one way to play it,No,"Review the news headline and determine if it relates to price in the past.
Options: No, Yes"
gold recovery? here's one way to play it,No,"In the context of the news headline, is price in the future discussed?
Options: No, Yes"
gold recovery? here's one way to play it,No,"Examine the news headline and decide if it includes a general event (apart from prices) in the past.
Options: Yes, No"
gold recovery? here's one way to play it,Yes,"Consider the news headline - does it concern a general event (apart from prices) in the future?
Options: No, Yes"
gold recovery? here's one way to play it,No,"Is the news headline related to comparing gold with any other asset?
Options: No, Yes"
"gold prices rebound rs 350 on global cues, weak rupee",No,"Does the news headline talk about price? 
Options: No, Yes"
"gold prices rebound rs 350 on global cues, weak rupee",Yes,"Is the news headline related to price going up?
Options: No, Yes"
"gold prices rebound rs 350 on global cues, weak rupee",No,"Analyze the news headline for any mention of price staying constant.
Options: No, Yes"
"gold prices rebound rs 350 on global cues, weak rupee",No,"Let me know if the news headline talks about price going down.
Options: Yes, No"
"gold prices rebound rs 350 on global cues, weak rupee",Yes,"In the context of the news headline, is price in the past discussed?
Options: No, Yes"
"gold prices rebound rs 350 on global cues, weak rupee",No,"Assess if the news headline touches on price in the future.
Options: Yes, No"
"gold prices rebound rs 350 on global cues, weak rupee",No,"Interpret the news headline to see if it mentions a general event (apart from prices) in the past.
Options: No, Yes"
"gold prices rebound rs 350 on global cues, weak rupee",No,"Does the news headline talk about a general event (apart from prices) in the future? 
Options: Yes, No"
"gold prices rebound rs 350 on global cues, weak rupee",Yes,"Assess if the news headline touches on comparing gold with any other asset.
Options: No, Yes"
"can investment in gold, sensex & ppfs give the same returns?",No,"Let me know if the news headline talks about price.
Options: No, Yes"
"can investment in gold, sensex & ppfs give the same returns?",No,"Interpret the news headline to see if it mentions price going up.
Options: Yes, No"
"can investment in gold, sensex & ppfs give the same returns?",No,"Please determine if the news headline addresses price staying constant.
Options: No, Yes"
"can investment in gold, sensex & ppfs give the same returns?",No,"Let me know if the news headline talks about price going down.
Options: No, Yes"
"can investment in gold, sensex & ppfs give the same returns?",No,"Does the news headline talk about price in the past? 
Options: No, Yes"
"can investment in gold, sensex & ppfs give the same returns?",No,"Is the news headline related to price in the future?
Options: Yes, No"
"can investment in gold, sensex & ppfs give the same returns?",No,"Review the news headline and determine if it relates to a general event (apart from prices) in the past.
Options: Yes, No"
"can investment in gold, sensex & ppfs give the same returns?",Yes,"Consider the news headline - does it concern a general event (apart from prices) in the future?
Options: No, Yes"
"can investment in gold, sensex & ppfs give the same returns?",No,"Analyze the news headline for any mention of comparing gold with any other asset.
Options: Yes, No"
gold rush spooks economy as trade deficit surges to $17.8 bn,No,"Interpret the news headline to see if it mentions price.
Options: Yes, No"
gold rush spooks economy as trade deficit surges to $17.8 bn,Yes,"Interpret the news headline to see if it mentions price going up.
Options: Yes, No"
gold rush spooks economy as trade deficit surges to $17.8 bn,No,"Consider the news headline - does it concern price staying constant?
Options: No, Yes"
gold rush spooks economy as trade deficit surges to $17.8 bn,No,"Is the news headline related to price going down?
Options: Yes, No"
gold rush spooks economy as trade deficit surges to $17.8 bn,Yes,"Analyze the news headline for any mention of price in the past.
Options: Yes, No"
gold rush spooks economy as trade deficit surges to $17.8 bn,No,"Does the news headline talk about price in the future? 
Options: No, Yes"
gold rush spooks economy as trade deficit surges to $17.8 bn,No,"In the context of the news headline, is a general event (apart from prices) in the past discussed?
Options: Yes, No"
gold rush spooks economy as trade deficit surges to $17.8 bn,No,"Consider the news headline - does it concern a general event (apart from prices) in the future?
Options: Yes, No"
gold rush spooks economy as trade deficit surges to $17.8 bn,No,"Consider the news headline - does it concern comparing gold with any other asset?
Options: No, Yes"
"Gold futures down at Rs 30,244 ",No,"Consider the news headline - does it concern price?
Options: No, Yes"
"Gold futures down at Rs 30,244 ",No,"Does the news headline talk about price going up? 
Options: Yes, No"
"Gold futures down at Rs 30,244 ",No,"In the context of the news headline, is price staying constant discussed?
Options: No, Yes"
"Gold futures down at Rs 30,244 ",Yes,"Analyze the news headline for any mention of price going down.
Options: Yes, No"
"Gold futures down at Rs 30,244 ",Yes,"Consider the news headline - does it concern price in the past?
Options: Yes, No"
"Gold futures down at Rs 30,244 ",No,"Review the news headline and determine if it relates to price in the future.
Options: No, Yes"
"Gold futures down at Rs 30,244 ",No,"Let me know if the news headline talks about a general event (apart from prices) in the past.
Options: No, Yes"
"Gold futures down at Rs 30,244 ",No,"Assess if the news headline touches on a general event (apart from prices) in the future.
Options: No, Yes"
"Gold futures down at Rs 30,244 ",No,"Does the news headline talk about comparing gold with any other asset? 
Options: Yes, No"
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,"In the context of the news headline, is price discussed?
Options: No, Yes"
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",Yes,"Let me know if the news headline talks about price going up.
Options: Yes, No"
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,"Consider the news headline - does it concern price staying constant?
Options: Yes, No"
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,"Examine the news headline and decide if it includes price going down.
Options: No, Yes"
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",Yes,"Please determine if the news headline addresses price in the past.
Options: Yes, No"
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,"Assess if the news headline touches on price in the future.
Options: Yes, No"
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,"Consider the news headline - does it concern a general event (apart from prices) in the past?
Options: No, Yes"
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,"Assess if the news headline touches on a general event (apart from prices) in the future.
Options: No, Yes"
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,"Assess if the news headline touches on comparing gold with any other asset.
Options: Yes, No"
gold prices slip lower as dollar remains supported,No,"Does the news headline talk about price? 
Options: Yes, No"
gold prices slip lower as dollar remains supported,No,"Consider the news headline - does it concern price going up?
Options: No, Yes"
gold prices slip lower as dollar remains supported,No,"In the context of the news headline, is price staying constant discussed?
Options: Yes, No"
gold prices slip lower as dollar remains supported,Yes,"Interpret the news headline to see if it mentions price going down.
Options: No, Yes"
gold prices slip lower as dollar remains supported,Yes,"Please determine if the news headline addresses price in the past.
Options: No, Yes"
gold prices slip lower as dollar remains supported,No,"Is the news headline related to price in the future?
Options: No, Yes"
gold prices slip lower as dollar remains supported,No,"Does the news headline talk about a general event (apart from prices) in the past? 
Options: Yes, No"
gold prices slip lower as dollar remains supported,No,"Does the news headline talk about a general event (apart from prices) in the future? 
Options: No, Yes"
gold prices slip lower as dollar remains supported,Yes,"Examine the news headline and decide if it includes comparing gold with any other asset.
Options: Yes, No"
gold to trade in 28670-29160 range: achiievers equities,Yes,"Assess if the news headline touches on price.
Options: Yes, No"
gold to trade in 28670-29160 range: achiievers equities,No,"Analyze the news headline for any mention of price going up.
Options: No, Yes"
gold to trade in 28670-29160 range: achiievers equities,Yes,"Examine the news headline and decide if it includes price staying constant.
Options: No, Yes"
gold to trade in 28670-29160 range: achiievers equities,No,"Consider the news headline - does it concern price going down?
Options: No, Yes"
gold to trade in 28670-29160 range: achiievers equities,No,"Let me know if the news headline talks about price in the past.
Options: No, Yes"
gold to trade in 28670-29160 range: achiievers equities,Yes,"Examine the news headline and decide if it includes price in the future.
Options: No, Yes"
gold to trade in 28670-29160 range: achiievers equities,No,"Consider the news headline - does it concern a general event (apart from prices) in the past?
Options: No, Yes"
gold to trade in 28670-29160 range: achiievers equities,No,"Please determine if the news headline addresses a general event (apart from prices) in the future.
Options: No, Yes"
gold to trade in 28670-29160 range: achiievers equities,No,"Review the news headline and determine if it relates to comparing gold with any other asset.
Options: Yes, No"
"Gold holds firm near $1,200 on dovish Fed",Yes,"Interpret the news headline to see if it mentions price.
Options: No, Yes"
"Gold holds firm near $1,200 on dovish Fed",No,"Please determine if the news headline addresses price going up.
Options: Yes, No"
"Gold holds firm near $1,200 on dovish Fed",Yes,"Examine the news headline and decide if it includes price staying constant.
Options: Yes, No"
"Gold holds firm near $1,200 on dovish Fed",No,"Is the news headline related to price going down?
Options: No, Yes"
"Gold holds firm near $1,200 on dovish Fed",Yes,"Is the news headline related to price in the past?
Options: No, Yes"
"Gold holds firm near $1,200 on dovish Fed",No,"Please determine if the news headline addresses price in the future.
Options: No, Yes"
"Gold holds firm near $1,200 on dovish Fed",No,"Assess if the news headline touches on a general event (apart from prices) in the past.
Options: Yes, No"
"Gold holds firm near $1,200 on dovish Fed",No,"Consider the news headline - does it concern a general event (apart from prices) in the future?
Options: No, Yes"
"Gold holds firm near $1,200 on dovish Fed",No,"Please determine if the news headline addresses comparing gold with any other asset.
Options: Yes, No"
Gold prices finish at a more than one-week high,No,"In the context of the news headline, is price discussed?
Options: Yes, No"
Gold prices finish at a more than one-week high,Yes,"Interpret the news headline to see if it mentions price going up.
Options: Yes, No"
Gold prices finish at a more than one-week high,No,"Review the news headline and determine if it relates to price staying constant.
Options: Yes, No"
Gold prices finish at a more than one-week high,No,"Interpret the news headline to see if it mentions price going down.
Options: Yes, No"
Gold prices finish at a more than one-week high,Yes,"Assess if the news headline touches on price in the past.
Options: Yes, No"
Gold prices finish at a more than one-week high,No,"Interpret the news headline to see if it mentions price in the future.
Options: No, Yes"
Gold prices finish at a more than one-week high,No,"Review the news headline and determine if it relates to a general event (apart from prices) in the past.
Options: No, Yes"
Gold prices finish at a more than one-week high,No,"Does the news headline talk about a general event (apart from prices) in the future? 
Options: Yes, No"
Gold prices finish at a more than one-week high,No,"Consider the news headline - does it concern comparing gold with any other asset?
Options: Yes, No"
india : is gold a good investment in a volatile market?,No,"Does the news headline talk about price? 
Options: No, Yes"
india : is gold a good investment in a volatile market?,No,"Let me know if the news headline talks about price going up.
Options: No, Yes"
india : is gold a good investment in a volatile market?,No,"Examine the news headline and decide if it includes price staying constant.
Options: Yes, No"
india : is gold a good investment in a volatile market?,No,"Assess if the news headline touches on price going down.
Options: No, Yes"
india : is gold a good investment in a volatile market?,No,"Please determine if the news headline addresses price in the past.
Options: No, Yes"
india : is gold a good investment in a volatile market?,No,"Please determine if the news headline addresses price in the future.
Options: No, Yes"
india : is gold a good investment in a volatile market?,No,"In the context of the news headline, is a general event (apart from prices) in the past discussed?
Options: No, Yes"
india : is gold a good investment in a volatile market?,Yes,"Let me know if the news headline talks about a general event (apart from prices) in the future.
Options: No, Yes"
india : is gold a good investment in a volatile market?,No,"Assess if the news headline touches on comparing gold with any other asset.
Options: Yes, No"
gold futures down over $20/oz ahead of settlement,No,"In the context of the news headline, is price discussed?
Options: No, Yes"
gold futures down over $20/oz ahead of settlement,No,"Interpret the news headline to see if it mentions price going up.
Options: Yes, No"
gold futures down over $20/oz ahead of settlement,No,"Consider the news headline - does it concern price staying constant?
Options: Yes, No"
gold futures down over $20/oz ahead of settlement,Yes,"Review the news headline and determine if it relates to price going down.
Options: No, Yes"
gold futures down over $20/oz ahead of settlement,Yes,"Analyze the news headline for any mention of price in the past.
Options: No, Yes"
gold futures down over $20/oz ahead of settlement,No,"Interpret the news headline to see if it mentions price in the future.
Options: No, Yes"
gold futures down over $20/oz ahead of settlement,No,"Examine the news headline and decide if it includes a general event (apart from prices) in the past.
Options: No, Yes"
gold futures down over $20/oz ahead of settlement,No,"Let me know if the news headline talks about a general event (apart from prices) in the future.
Options: Yes, No"
gold futures down over $20/oz ahead of settlement,No,"Assess if the news headline touches on comparing gold with any other asset.
Options: Yes, No"
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,"Analyze the news headline for any mention of price.
Options: No, Yes"
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",Yes,"Does the news headline talk about price going up? 
Options: No, Yes"
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,"In the context of the news headline, is price staying constant discussed?
Options: Yes, No"
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,"Review the news headline and determine if it relates to price going down.
Options: Yes, No"
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",Yes,"Consider the news headline - does it concern price in the past?
Options: No, Yes"
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,"Assess if the news headline touches on price in the future.
Options: Yes, No"
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,"Let me know if the news headline talks about a general event (apart from prices) in the past.
Options: Yes, No"
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,"Examine the news headline and decide if it includes a general event (apart from prices) in the future.
Options: Yes, No"
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,"Does the news headline talk about comparing gold with any other asset? 
Options: No, Yes"
april gold up $1.40 to end the day at $554.40/oz in ny,No,"Interpret the news headline to see if it mentions price.
Options: No, Yes"
april gold up $1.40 to end the day at $554.40/oz in ny,Yes,"Is the news headline related to price going up?
Options: Yes, No"
april gold up $1.40 to end the day at $554.40/oz in ny,No,"Consider the news headline - does it concern price staying constant?
Options: No, Yes"
april gold up $1.40 to end the day at $554.40/oz in ny,No,"Does the news headline talk about price going down? 
Options: Yes, No"
april gold up $1.40 to end the day at $554.40/oz in ny,Yes,"Examine the news headline and decide if it includes price in the past.
Options: No, Yes"
april gold up $1.40 to end the day at $554.40/oz in ny,No,"Assess if the news headline touches on price in the future.
Options: No, Yes"
april gold up $1.40 to end the day at $554.40/oz in ny,No,"Interpret the news headline to see if it mentions a general event (apart from prices) in the past.
Options: No, Yes"
april gold up $1.40 to end the day at $554.40/oz in ny,No,"Consider the news headline - does it concern a general event (apart from prices) in the future?
Options: Yes, No"
april gold up $1.40 to end the day at $554.40/oz in ny,No,"Does the news headline talk about comparing gold with any other asset? 
Options: Yes, No"
