input,output,instruction
"7年期的面值债券，票面利率9$\%$，修正久期是____。
A. 7年
B. 5.49年
C. 5.03年
D. 4.87年
",C. 5.03年,以下是中国关于投资学考试的单项选择题，请选出其中的正确答案。
"如果某一时期GDP不断上升，那么____。
A. 净投资大于0
B. 重置投资小于0
C. 总投资小于0
D. 以上都不对
",A. 净投资大于0,以下是中国关于宏观经济学考试的单项选择题，请选出其中的正确答案。
"甲公司2020年年初房产原值为8000万元，3月与乙公司签订租赁合同，约定自2020年4月起将原值500万元房产租赁给乙公司，租期3年，月租金2万元，2020年4～6月为免租使用期间。甲公司所在地计算房产税余值减除比例为30$\%$，甲公司2020年度应缴纳的房产税为____。（不考虑增值税的影响）
A. 65.49元
B. 66.21元
C. 66.54元
D. 67.26元
",C. 66.54元,以下是中国关于税法考试的单项选择题，请选出其中的正确答案。
"牙买加体系与布雷顿森林体系的区别不包括____。
A. 黄金非货币化
B. 储备货币多样化
C. 汇率制度多样化
D. 国际收支调节单一化
",D. 国际收支调节单一化,以下是中国关于国际金融学考试的单项选择题，请选出其中的正确答案。
"下列关于收入确认时间的说法中，不正确的是____。
A. 股息、红利等权益性投资收益，除另有规定外，按照被投资方作出利润分配决定的日期确认收入的实现
B. 利息收入，按照合同约定的债务人应付利息的日期确认收入的实现
C. 特许权使用费收入，按照收到特许权使用费的日期确认收入的实现
D. 接受捐赠收入，按照实际收到捐赠资产的日期确认收入的实现
",C. 特许权使用费收入，按照收到特许权使用费的日期确认收入的实现,以下是中国关于税法考试的单项选择题，请选出其中的正确答案。
"银行分析利率上涨100个基点对交易账户市值的影响属于____。
A. 敏感性测试
B. 情景分析
C. 情景测试
D. 敏感性分析
",A. 敏感性测试,以下是中国关于银行从业资格证考试的单项选择题，请选出其中的正确答案。
"股权投资基金的服务机构主要包括____、会计师事务所等。
A. 基金托管机构
B. 基金销售机构
C. 律师事务所
D. 以上都是
",D. 以上都是,以下是中国关于基金从业资格证考试的单项选择题，请选出其中的正确答案。
"汇率变化与资本流动的关系不包括____。
A. 汇率变动对长期资本的影响较小
B. 本币汇率大幅度贬值会引起资本外逃
C. 汇率升值会引起短期资本流入
D. 汇率升值会引起短期资本流出
",D. 汇率升值会引起短期资本流出,以下是中国关于国际金融学考试的单项选择题，请选出其中的正确答案。
"原保险人与再保险人签订溢额再保险合同，原保险人对每一风险单位的自留额为60万元，再保险人的分保额是240万元。现在发生以下赔案：风险A的保险金额为50万元，赔款30万元；风险B的保险金额为180万元，赔款90万元；风险C的保险金额为300万元，赔款120万元。则再保险人在上述赔案中应支付的赔款分别为____万元。
A. 0，30，60
B. 30，60，96
C. 0，60，90
D. 0，60，96
",D. 0，60，96,以下是中国关于中国精算师考试的单项选择题，请选出其中的正确答案。
"目前，我国实施的人民币汇率制度是____。
A. 固定汇率制
B. 弹性汇率制
C. 钉住汇率制
D. 管理浮动汇率制
",D. 管理浮动汇率制,以下是中国关于金融学考试的单项选择题，请选出其中的正确答案。
"某公司成功推出新产品的概率是20$\%$，则200个新产品推出的过程中成功个数的标准差为____，假设服从二项分布。
A. 1.3654
B. 4.8596
C. 5.6569
D. 9.6569
",C. 5.6569,以下是中国关于中国精算师考试的单项选择题，请选出其中的正确答案。
"内部结算价格中，成功的什么依赖于一个某种形式的外部市场，使“买”、“卖”双方可以自由地选择接受或拒绝某一价格。并且在双方矛盾无法解决时，企业高级管理层要进行必要的干预____。
A. 市场价格
B. 协商价格
C. 双重内部结算价格
D. 成本价
",B. 协商价格,以下是中国关于成本会计学考试的单项选择题，请选出其中的正确答案。
"金融企业会计的主要特点不包括____。
A. 核算方法的独特性
B. 监督的政策性
C. 风险管理的严格性
D. 核算内容的社会性
",C. 风险管理的严格性,以下是中国关于银行从业资格证考试的单项选择题，请选出其中的正确答案。
"兴旺集团在行政管理方面，奉行的基本原则是灵活性，即在大量分散的单位和目标之间调度和协调资源;在工程技术问题上，常常开发机械化程度很低和例外性的多种技术和标准技术来避免长期陷于单一的技术过程。根据上述信息，兴旺集团采用的组织的战略类型是____。
A. 防御型战略组织
B. 开拓型战略组织
C. 分析型战略组织
D. 反应型战略组织
",B. 开拓型战略组织,以下是中国关于公司战略与风险管理考试的单项选择题，请选出其中的正确答案。
"我国企业对境外经营的财务报表进行折算时，产生的外币报表折算差额应当____。
A. 作为递延收益列示
B. 在相关资产类项目下列示
C. 在相关负债类项目下列示
D. 在所有者权益项目下单独列示
",D. 在所有者权益项目下单独列示,以下是中国关于高级财务会计考试的单项选择题，请选出其中的正确答案。
"某投资公司持有的证券组合在置信度为95$\%$证券市场正常波动情况下的日VaR值为500万元。其含义是指____。
A. 该公司的证券组合在一天内由于市场价格变化而带来的最大损失超过500万元的概率为5$\%$
B. 有95$\%$的把握保证该投资公司在下一个交易日内的损失在500万元以上
C. 该公司的证券组合在一天内由于市场价格变化而带来的最大损失超过500万元的概率为95$\%$
D. 有5$\%$的把握保证该投资公司在下一个交易日内的损失在500万元以内
",A. 该公司的证券组合在一天内由于市场价格变化而带来的最大损失超过500万元的概率为5$\%$,以下是中国关于期货从业资格证考试的单项选择题，请选出其中的正确答案。
"某些女性在收入比较低时购买杏仁蜜作为化妆品，而在收入提高时，则去购买欧莱雅，杏仁蜜对这些人来说是____。
A. 吉芬商品
B. 低档商品
C. 正常商品
D. 生活必需品
",B. 低档商品,以下是中国关于微观经济学考试的单项选择题，请选出其中的正确答案。
"技术分析中，波浪理论是由____提出的。
A. 索罗斯
B. 菲波纳奇
C. 艾略特
D. 道·琼斯
",C. 艾略特,以下是中国关于期货从业资格证考试的单项选择题，请选出其中的正确答案。
"考虑所得税影响时，项目采用加速折旧法计提折旧，计算出来的方案净现值比采用直线法计提折旧计算出来的净现值____。
A. 大
B. 小
C. 一样
D. 不能确定
",A. 大,以下是中国关于公司金融学考试的单项选择题，请选出其中的正确答案。
"资产证券化是指将资产转化为证券的过程，以下哪种情况不适合进行资产证券化____。
A. 个人住房贷款组合
B. 小微企业应收账款
C. 政府债券
D. 股票投资组合
",C. 政府债券,以下是中国关于金融市场学考试的单项选择题，请选出其中的正确答案。
"下列各项关于非营利组织会计处理的表述中，正确的是____。
A. 捐赠收入于捐赠方作出书面承诺时确认
B. 接受的劳务捐赠按照公允价值确认捐赠收入
C. 如果捐赠方没有提供有关凭证，受赠的非现金资产按照名义价值入账
D. 收到受托代理资产时确认受托代理资产，同时确认受托代理负债
",D. 收到受托代理资产时确认受托代理资产，同时确认受托代理负债,以下是中国关于会计考试的单项选择题，请选出其中的正确答案。
"确定证券价格的条件除了需要知道市场上的必要的合理预期收益率，还需要知道____。
A. 该证券的票面价值
B. 该证券的票面利率
C. 该证券的到期限期
D. 该证券的预期现金流量
",D. 该证券的预期现金流量,以下是中国关于金融市场学考试的单项选择题，请选出其中的正确答案。
"在货币与经济周期的关系中，若货币数量不变动，同一经济体内的经济状况是繁荣还是萧条，一般与____变化有关。
A. 利率
B. 收入
C. 货币流通速度
D. 都不是
",C. 货币流通速度,以下是中国关于货币金融学考试的单项选择题，请选出其中的正确答案。
"根据《商业银行资本管理办法(试行)》，下列关于商业银行第二支柱建设的描述，最不恰当的____。
A. 银行需要审慎评估各类风险、资本充足水平和资本质量，制定资本规划和资本充足率管理计划
B. 银行需要建立完善的风险管理框架和稳健的内部资本充足评估程序
C. 银行应将内部资本充足评估程序作为内部管理和决策的组成部分
D. 内部资本充足评估程序应至少每三年实施一次
",D. 内部资本充足评估程序应至少每三年实施一次,以下是中国关于银行从业资格证考试的单项选择题，请选出其中的正确答案。
"下列各项中，不属于贷款合同的制定原则的是____。
A. 不冲突原则
B. 适宜相容原则
C. 维权原则
D. 非歧视原则
",D. 非歧视原则,以下是中国关于银行从业资格证考试的单项选择题，请选出其中的正确答案。
"我国的保险监管部门是____。
A. 人民银行
B. 国务院
C. 保险监督管理委员会
D. 证券监督管理委员会
",C. 保险监督管理委员会,以下是中国关于保险学考试的单项选择题，请选出其中的正确答案。
"汇率行情如下：伦敦市场1英镑=42美元，纽约市场1美元=58加元，多 伦多市场100英镑=220加元，如果一个投机者投入100万英镑套汇，那么____。
A. 有套汇机会,获利98万英镑
B. 有套汇机会,获利98万美元
C. 有套汇机会,获利98万加元
D. 无套汇机会，获利为零
","A. 有套汇机会,获利98万英镑",以下是中国关于货币金融学考试的单项选择题，请选出其中的正确答案。
"下列不属于上市公司披露信息的内容是____。
A. 上市公告书
B. 招股说明书
C. 年度报告
D. 公司管理办法
",D. 公司管理办法,以下是中国关于管理会计学考试的单项选择题，请选出其中的正确答案。
"一个利润最大化厂商在亏损的情况下依然生产，此时产品价格为100元/单位，则____。
A. 平均总成本小于100
B. 平均固定成本小于100
C. 边际产量增加
D. 平均可变成本小于100
",D. 平均可变成本小于100,以下是中国关于微观经济学考试的单项选择题，请选出其中的正确答案。
"如果公司的目标是最小化投资组合风险，则最优战略包含____。
A. 低贝塔值且回报高度相关的投资
B. 高贝塔值且回报相关性较低的投资
C. 高贝塔值的多样化投资
D. 低贝塔值的多样化投资
",D. 低贝塔值的多样化投资,以下是中国关于管理会计师考试的单项选择题，请选出其中的正确答案。
"琦澳公司的息税前收益(EBIT)的期望值为600万元，如果该公司不负债，其价值($V_u$)为2000万元。已知公司所得税税率为40$\%$，债务成本为10$\%$，如果该公司借入其价值总额50$\%$的债务，即使其资本结构(D/E)＝1，利用MM命题,计算该公司在不负债时的权益资本成本为____。
A. 0.18
B. 0.228
C. 0.144
D. 0.2
",A. 0.18,以下是中国关于金融市场学考试的单项选择题，请选出其中的正确答案。
"下列关于结算机构的说法，不正确的是____。
A. 目前，我国期货结算机构是交易所的一个内部机构
B. 结算机构通常采用分级结算制度，只有结算机构的会员才能直接得到结算机构提供的服务
C. 在国外，期货交易所会员未必同时是结算机构会员
D. 结算机构的全员结算制度，能够形成多层次的风险控制体系，保证期货交易的安全性
",D. 结算机构的全员结算制度，能够形成多层次的风险控制体系，保证期货交易的安全性,以下是中国关于期货从业资格证考试的单项选择题，请选出其中的正确答案。
"在期货市场中，交割是指按照合约规定的条件交付____。
A. 标的物
B. 保证金
C. 手续费
D. 交易所
",A. 标的物,以下是中国关于期货从业资格证考试的单项选择题，请选出其中的正确答案。
"在对甲公司营业收入的发生认定进行审计时，注册会计师获取的下列审计证据中，可靠性最强的是____。
A. 甲公司与购货方签订的合同
B. 注册会计师向购货方函证的回函
C. 甲公司产品销售的出库凭证
D. 甲公司管理层提供的书面声明
",B. 注册会计师向购货方函证的回函,以下是中国关于审计学考试的单项选择题，请选出其中的正确答案。
"甲公司目前存在融资需求。如果采用优序融资理论，管理层应当选择的融资顺序是____。
A. 内部留存收益、公开增发新股、发行公司债券、发行可转换债券
B. 内部留存收益、公开增发新股、发行可转换债券、发行公司债券
C. 内部留存收益、发行公司债券、发行可转换债券、公开增发新股
D. 内部留存收益、发行可转换债券、发行公司债券、公开增发新股
",C. 内部留存收益、发行公司债券、发行可转换债券、公开增发新股,以下是中国关于财务管理学考试的单项选择题，请选出其中的正确答案。
"卢卡斯在理性预期一般均衡模型中，成功地解释了货币的____。
A. 短期中性
B. 短期非中性
C. 中期中性
D. 长期非中性
",B. 短期非中性,以下是中国关于货币金融学考试的单项选择题，请选出其中的正确答案。
"证券交易所发布的股票价格指数所采用的计算方法通常采用的是____。
A. 算术平均法
B. 综合平均法
C. 加权平均法
D. 加权几何平均法
",C. 加权平均法,以下是中国关于投资学考试的单项选择题，请选出其中的正确答案。
"下列有关统计抽样和非统计抽样的共同点的说法中，错误的是____。
A. 统计抽样和非统计抽样都能客观计量抽样风险
B. 统计抽样和非统计抽样都难以量化非抽样风险
C. 统计抽样和非统计抽样都需要注册会计师运用职业判断
D. 如果设计得当，非统计抽样能够提供与统计抽样同样有效的结果
",A. 统计抽样和非统计抽样都能客观计量抽样风险,以下是中国关于注册会计师考试的单项选择题，请选出其中的正确答案。
"甲企业即将执行国际化发展战略，欲在A国、B国建立分支机构负责当地的事务，开辟新的销售区域。但由于现有结构已无法满足企业开拓的需求，因此需要对其进行调整。下列适合甲企业的组织结构是____。
A. 区域事业部制结构
B. 产品事业部制结构
C. 客户事业部制结构
D. M型企业组织结构
",A. 区域事业部制结构,以下是中国关于公司战略与风险管理考试的单项选择题，请选出其中的正确答案。
"下列关于目前个人住房贷款特点的表述，错误的是____。
A. 风险具有非系统性特点
B. 大多以抵押为前提建立借贷关系
C. 贷款期限长
D. 贷款金额较大
",A. 风险具有非系统性特点,以下是中国关于银行从业资格证考试的单项选择题，请选出其中的正确答案。
"当中央银行进行下列货币政策操作时，能够引起货币供应量减少的是____。
A. 中央银行买进债券
B. 降低法定存款准备金率
C. 降低再贴现率
D. 提高法定存款准备金率
",D. 提高法定存款准备金率,以下是中国关于银行从业资格证考试的单项选择题，请选出其中的正确答案。
"A国边际进口倾向为0.2，边际储蓄倾向为0.5，2008年该国出口增加100亿美元。为了维持国际收支平衡，该国应该____。
A. 增加投资40亿美元
B. 增加投资250亿美元
C. 减少投资40亿美元
D. 减少投资250亿美元
",B. 增加投资250亿美元,以下是中国关于国际经济学考试的单项选择题，请选出其中的正确答案。
"某股份有限公司于2014年1月1日发行3年期，每年1月1日付息、到期一次还本的公司债券，债券面值为200万元，票面年利率为5$\%$，实际利率为6$\%$，发行价格为194.65万元。按实际利率法确认利息费用。该债券2015年度确认的利息费用为____万元。
A. 11.78
B. 12
C. 10
D. 11.68
",A. 11.78,以下是中国关于会计考试的单项选择题，请选出其中的正确答案。
"在面临下面____冲击的时候，中国采取固定汇率制能够比浮动汇率制更好地起到稳定经济的作用。
A. 美国发生金融危机导致出口需求萎缩
B. 澳大利亚减少铁矿石产量，导致铁矿石进口成本飙升
C. 中国投资者热衷于在外国股票市场进行投资
D. 由于收入提高，中国消费者的消费需求迅速增加
",D. 由于收入提高，中国消费者的消费需求迅速增加,以下是中国关于国际经济学考试的单项选择题，请选出其中的正确答案。
"假定边际储蓄倾向等于20$\%$，增加100万美元投资可以使国民收入增加____。
A. 200万美元
B. 500万美元
C. 800万美元
D. 100万美元
",B. 500万美元,以下是中国关于宏观经济学考试的单项选择题，请选出其中的正确答案。
"下列关于主要市场或最有利市场的说法中，正确的是____。
A. 企业应当从自身角度，而非市场参与者角度，判定相关资产或负债的主要市场
B. 企业正常进行资产出售或者负债转移的市场是主要市场或最有利市场
C. 相关资产或负债的主要市场要求企业于计量日在该市场上实际出售资产或者转移负债
D. 对于相同资产或负债而言，不同企业的主要市场相同
",A. 企业应当从自身角度，而非市场参与者角度，判定相关资产或负债的主要市场,以下是中国关于会计考试的单项选择题，请选出其中的正确答案。
"下列关于税收法律关系的表述中，正确的是____。
A. 税法是引起法律关系的前提条件，税法可以产生具体的税收法律关系
B. 税收法律关系的保护对权利主体双方是不平等的
C. 代表国家行使征税职责的各级国家税务机关是税收法律关系中的权利主体之一
D. 税收法律关系总体上与其他法律关系一样，都是由权利主体、权利客体两方面构成
",C. 代表国家行使征税职责的各级国家税务机关是税收法律关系中的权利主体之一,以下是中国关于税法考试的单项选择题，请选出其中的正确答案。
"2×18年1月20日，甲公司与丙公司签订租赁协议，将原出租给乙公司并即将在2×18年3月1日到期的厂房租赁给丙公司。该协议约定，甲公司2×18年7月1日起将厂房出租给丙公司，租赁期为5年，每月租金为60万元，租赁期首3个月免租金。为满足丙公司租赁厂房的需要，甲公司2×18年3月2日起对厂房进行改扩建，改扩建工程2×18年6月29日完工并达到预定可使用状态。甲公司对出租厂房采用成本模式进行后续计量。不考虑其他因素，下列各项关于甲公司上述交易或事项会计处理的表述中，正确的是____。
A. 2×18年确认租金收入180万元
B. 改扩建过程中的厂房确认为投资性房地产
C. 厂房改扩建过程中发生的支出直接计入当期损益
D. 厂房在改扩建期间计提折旧
",B. 改扩建过程中的厂房确认为投资性房地产,以下是中国关于会计考试的单项选择题，请选出其中的正确答案。
"现已利用Box-Muller方法产生了标准正态分布随机数0.8082，需生成模拟随机利率的随机数$Y=\sqrt{X}$，$X$服从参数为$\mu=5$,$\sigma^{2}=4$的对数正态分布则得到的随机数为____。
A. 27.34
B. 31.34
C. 41.34
D. 51.34
",A. 27.34,以下是中国关于中国精算师考试的单项选择题，请选出其中的正确答案。
"理财师的执业道德准则要求金融理财师诚实公平地提供服务，不受经济利益、关联关系和外界压力等影响，从客户利益出发，做出合理、谨慎的专业判断，公平合理地对待客户、委托人、合伙人和雇主，并公正、诚实地披露其在提供专业服务过程中遇到的利益冲突，这是哪项基本原则的要求____。
A. 遵纪守法
B. 保守秘密
C. 正直守信
D. 客观公正
",D. 客观公正,以下是中国关于银行从业资格证考试的单项选择题，请选出其中的正确答案。
"根据托宾的q理论，企业在下列哪一情况下会增加投资____。
A. 企业资产的市场价值超过企业资产的重置价值
B. 企业资产的重置价值超过企业资产的市场价值
C. 企业资产的市场价值超过企业金融资产的面值
D. 企业金融资产的市场价值超过企业资产的面值
",A. 企业资产的市场价值超过企业资产的重置价值,以下是中国关于货币金融学考试的单项选择题，请选出其中的正确答案。
"充当国际储备资产的货币必须具备的条件不包括：____。
A. 能自由兑换成其他储备货币
B. 在国际货币体系中占据重要地位
C. 其购买力必须具有稳定性
D. 货币的价值较高
",D. 货币的价值较高,以下是中国关于国际金融学考试的单项选择题，请选出其中的正确答案。
"根据企业国有资产法律制度的规定，代表国家行使企业国有资产所有权的是____。
A. 全国人民代表大会
B. 国有资产监督管理委员会
C. 国家主席
D. 国务院
",D. 国务院,以下是中国关于经济法考试的单项选择题，请选出其中的正确答案。
"某公司共有职工2000名，每月平均工资是2500元，标准差是500元。假定该公司职工的工资服从正态分布，月工资在2000元至3000元之间的职工人数大约为____。
A. 1750人
B. 1950人
C. 1550人
D. 1360人
",D. 1360人,以下是中国关于统计学考试的单项选择题，请选出其中的正确答案。
"下列关于证券研究报告质量控制、合规审查，说法错误的是____。
A. 证券期货经营机构应当建立健全证券研究报告发布前的质量控制机制，细化质量控制的目标、程序和岗位职责
B. 任何形式的分享证券投资收益或者分担证券投资损失的口头承诺无效，但在证券研究报告中书面承诺的除外
C. 证券研究报告中对证券及证券相关产品提出投资评级的，应当披露所使用的投资评级分类及其含义
D. 证券分析师应当对其署名的证券研究报告的内容和观点负责，保证信息来源合法合规
",B. 任何形式的分享证券投资收益或者分担证券投资损失的口头承诺无效，但在证券研究报告中书面承诺的除外,以下是中国关于证券从业资格证考试的单项选择题，请选出其中的正确答案。
"根据无税MM理论，当债务比重增加时，下列各项指标会提高的是____。
A. 债务资本成本
B. 权益资本成本
C. 加权平均资本成本
D. 企业价值
",B. 权益资本成本,以下是中国关于公司金融学考试的单项选择题，请选出其中的正确答案。
"____是指投资者依据公司法，通过出资形成一个独立的公司法人实体，由公司法人实体自行或委托专业基金管理人进行管理的股权投资基金。
A. 公司型基金
B. 合伙型基金
C. 契约型基金
D. 信托型基金
",A. 公司型基金,以下是中国关于基金从业资格证考试的单项选择题，请选出其中的正确答案。
"在半强式有效市场中，下列说法中，错误的是____。
A. 不存在高账面一市值比效应
B. 技术分析无效
C. 基本面分析无效
D. 内部信息无法获得超额利润
",D. 内部信息无法获得超额利润,以下是中国关于金融市场学考试的单项选择题，请选出其中的正确答案。
"下列各项中，不符合历史成本计量属性的是____。
A. 发出存货计价所使用的先进先出法
B. 其他债权投资期末采用公允价值计量
C. 固定资产计提折旧
D. 发出存货计价所使用的移动平均法
",B. 其他债权投资期末采用公允价值计量,以下是中国关于中级财务会计考试的单项选择题，请选出其中的正确答案。
"货币主义将____作为货币政策的唯一控制指标。
A. 利率
B. 货币供给量
C. 信贷流量
D. 准备金
",B. 货币供给量,以下是中国关于宏观经济学考试的单项选择题，请选出其中的正确答案。
"单纯地从物价和货币购买力的关系看，物价指数上升25$\%$，则货币购买力____。
A. 上升20$\%$
B. 下降20$\%$
C. 上升25$\%$
D. 下降25$\%$
",B. 下降20$\%$,以下是中国关于中央银行学考试的单项选择题，请选出其中的正确答案。
"下列各项中，会引起所有者权益总额发生增减变动的是____。
A. 以盈余公积弥补亏损
B. 提取法定盈余公积
C. 发放股票股利
D. 将债务转为资本
",D. 将债务转为资本,以下是中国关于中级财务会计考试的单项选择题，请选出其中的正确答案。
"目前中国的____利率已实现市场化。
A. 存款
B. 贷款
C. 同业拆借
D. 存款准备金
",C. 同业拆借,以下是中国关于货币金融学考试的单项选择题，请选出其中的正确答案。
"以下做法属于战术资产配置的是____。
A. 某私募基金经理为了追求自己管理的基金的长期回报，基于长期投资目标制定了该基金第一个五年资产
B. 某基金经理通过对组合中债券和股票类资产的长期预期收益率、长期风险水平和资产间的相关性进行比较，运用均值方差模型等优化方法构建最优组合
C. 某私募基金经理根据其基金投资者的风险承受能力，对基金资产做出事前的、整体性的、最能满足基金投资者需求的规划和安排
D. 某基金经理根据市场的短期波动，通过择时调节其资产组合各类别资产之间的分配
",D. 某基金经理根据市场的短期波动，通过择时调节其资产组合各类别资产之间的分配,以下是中国关于金融市场学考试的单项选择题，请选出其中的正确答案。
"企业破产清算时，编制的清算财务报表不包括____。
A. 清算损益表
B. 清算资产负债表
C. 债务清偿表
D. 清算现金流量表
",D. 清算现金流量表,以下是中国关于管理会计学考试的单项选择题，请选出其中的正确答案。
"在我国，收入变动与货币需求量变动之间的关系是____。
A. 同方向
B. 反方向
C. 无任何直接关系
D. A与B都可能
",A. 同方向,以下是中国关于货币金融学考试的单项选择题，请选出其中的正确答案。
"根据我国会计准则的规定，下列资产负债表项目中应采用发生日即期汇率折算的是____。
A. 固定资产
B. 应付账款
C. 无形资产
D. 实收资本
",D. 实收资本,以下是中国关于管理会计学考试的单项选择题，请选出其中的正确答案。
