input,output,instruction
dent research : is gold's day in the sun coming soon?,No,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
dent research : is gold's day in the sun coming soon?,No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
dent research : is gold's day in the sun coming soon?,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
dent research : is gold's day in the sun coming soon?,Yes,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
dent research : is gold's day in the sun coming soon?,No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"gold falls by rs 25 on sluggish demand, global cues",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"gold falls by rs 25 on sluggish demand, global cues",No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"gold falls by rs 25 on sluggish demand, global cues",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"gold falls by rs 25 on sluggish demand, global cues",Yes,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"gold falls by rs 25 on sluggish demand, global cues",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"gold falls by rs 25 on sluggish demand, global cues",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"gold falls by rs 25 on sluggish demand, global cues",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"gold falls by rs 25 on sluggish demand, global cues",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"gold falls by rs 25 on sluggish demand, global cues",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"Gold futures fall for the session, but gain for the week",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"Gold futures fall for the session, but gain for the week",Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"Gold futures fall for the session, but gain for the week",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"Gold futures fall for the session, but gain for the week",Yes,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"Gold futures fall for the session, but gain for the week",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"Gold futures fall for the session, but gain for the week",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"Gold futures fall for the session, but gain for the week",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"Gold futures fall for the session, but gain for the week",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"Gold futures fall for the session, but gain for the week",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"Gold struggles; silver slides, base metals falter",Yes,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"Gold struggles; silver slides, base metals falter",No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"Gold struggles; silver slides, base metals falter",Yes,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"Gold struggles; silver slides, base metals falter",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"Gold struggles; silver slides, base metals falter",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"Gold struggles; silver slides, base metals falter",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"Gold struggles; silver slides, base metals falter",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"Gold struggles; silver slides, base metals falter",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"Gold struggles; silver slides, base metals falter",Yes,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",Yes,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"gold loses 1.3%, but logs monthly gain of 6.3%",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"gold loses 1.3%, but logs monthly gain of 6.3%",Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"gold loses 1.3%, but logs monthly gain of 6.3%",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"gold loses 1.3%, but logs monthly gain of 6.3%",Yes,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"gold loses 1.3%, but logs monthly gain of 6.3%",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"gold loses 1.3%, but logs monthly gain of 6.3%",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"gold loses 1.3%, but logs monthly gain of 6.3%",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"gold loses 1.3%, but logs monthly gain of 6.3%",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"gold loses 1.3%, but logs monthly gain of 6.3%",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
gold recovery? here's one way to play it,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
gold recovery? here's one way to play it,No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
gold recovery? here's one way to play it,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
gold recovery? here's one way to play it,No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
gold recovery? here's one way to play it,No,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
gold recovery? here's one way to play it,No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
gold recovery? here's one way to play it,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
gold recovery? here's one way to play it,Yes,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
gold recovery? here's one way to play it,No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"gold prices rebound rs 350 on global cues, weak rupee",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"gold prices rebound rs 350 on global cues, weak rupee",Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"gold prices rebound rs 350 on global cues, weak rupee",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"gold prices rebound rs 350 on global cues, weak rupee",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"gold prices rebound rs 350 on global cues, weak rupee",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"gold prices rebound rs 350 on global cues, weak rupee",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"gold prices rebound rs 350 on global cues, weak rupee",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"gold prices rebound rs 350 on global cues, weak rupee",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"gold prices rebound rs 350 on global cues, weak rupee",Yes,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"can investment in gold, sensex & ppfs give the same returns?",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"can investment in gold, sensex & ppfs give the same returns?",No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"can investment in gold, sensex & ppfs give the same returns?",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"can investment in gold, sensex & ppfs give the same returns?",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"can investment in gold, sensex & ppfs give the same returns?",No,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"can investment in gold, sensex & ppfs give the same returns?",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"can investment in gold, sensex & ppfs give the same returns?",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"can investment in gold, sensex & ppfs give the same returns?",Yes,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"can investment in gold, sensex & ppfs give the same returns?",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
gold rush spooks economy as trade deficit surges to $17.8 bn,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
gold rush spooks economy as trade deficit surges to $17.8 bn,Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
gold rush spooks economy as trade deficit surges to $17.8 bn,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
gold rush spooks economy as trade deficit surges to $17.8 bn,No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
gold rush spooks economy as trade deficit surges to $17.8 bn,Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
gold rush spooks economy as trade deficit surges to $17.8 bn,No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
gold rush spooks economy as trade deficit surges to $17.8 bn,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
gold rush spooks economy as trade deficit surges to $17.8 bn,No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
gold rush spooks economy as trade deficit surges to $17.8 bn,No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"Gold futures down at Rs 30,244 ",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"Gold futures down at Rs 30,244 ",No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"Gold futures down at Rs 30,244 ",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"Gold futures down at Rs 30,244 ",Yes,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"Gold futures down at Rs 30,244 ",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"Gold futures down at Rs 30,244 ",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"Gold futures down at Rs 30,244 ",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"Gold futures down at Rs 30,244 ",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"Gold futures down at Rs 30,244 ",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
gold prices slip lower as dollar remains supported,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
gold prices slip lower as dollar remains supported,No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
gold prices slip lower as dollar remains supported,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
gold prices slip lower as dollar remains supported,Yes,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
gold prices slip lower as dollar remains supported,Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
gold prices slip lower as dollar remains supported,No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
gold prices slip lower as dollar remains supported,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
gold prices slip lower as dollar remains supported,No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
gold prices slip lower as dollar remains supported,Yes,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
gold to trade in 28670-29160 range: achiievers equities,Yes,Does the news headline talk about price? Please choose an answer from {Yes/No}.
gold to trade in 28670-29160 range: achiievers equities,No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
gold to trade in 28670-29160 range: achiievers equities,Yes,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
gold to trade in 28670-29160 range: achiievers equities,No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
gold to trade in 28670-29160 range: achiievers equities,No,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
gold to trade in 28670-29160 range: achiievers equities,Yes,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
gold to trade in 28670-29160 range: achiievers equities,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
gold to trade in 28670-29160 range: achiievers equities,No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
gold to trade in 28670-29160 range: achiievers equities,No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"Gold holds firm near $1,200 on dovish Fed",Yes,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"Gold holds firm near $1,200 on dovish Fed",No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"Gold holds firm near $1,200 on dovish Fed",Yes,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"Gold holds firm near $1,200 on dovish Fed",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"Gold holds firm near $1,200 on dovish Fed",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"Gold holds firm near $1,200 on dovish Fed",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"Gold holds firm near $1,200 on dovish Fed",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"Gold holds firm near $1,200 on dovish Fed",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"Gold holds firm near $1,200 on dovish Fed",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
Gold prices finish at a more than one-week high,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
Gold prices finish at a more than one-week high,Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
Gold prices finish at a more than one-week high,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
Gold prices finish at a more than one-week high,No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
Gold prices finish at a more than one-week high,Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
Gold prices finish at a more than one-week high,No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
Gold prices finish at a more than one-week high,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
Gold prices finish at a more than one-week high,No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
Gold prices finish at a more than one-week high,No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
india : is gold a good investment in a volatile market?,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
india : is gold a good investment in a volatile market?,No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
india : is gold a good investment in a volatile market?,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
india : is gold a good investment in a volatile market?,No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
india : is gold a good investment in a volatile market?,No,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
india : is gold a good investment in a volatile market?,No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
india : is gold a good investment in a volatile market?,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
india : is gold a good investment in a volatile market?,Yes,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
india : is gold a good investment in a volatile market?,No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
gold futures down over $20/oz ahead of settlement,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
gold futures down over $20/oz ahead of settlement,No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
gold futures down over $20/oz ahead of settlement,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
gold futures down over $20/oz ahead of settlement,Yes,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
gold futures down over $20/oz ahead of settlement,Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
gold futures down over $20/oz ahead of settlement,No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
gold futures down over $20/oz ahead of settlement,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
gold futures down over $20/oz ahead of settlement,No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
gold futures down over $20/oz ahead of settlement,No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
april gold up $1.40 to end the day at $554.40/oz in ny,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
april gold up $1.40 to end the day at $554.40/oz in ny,Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
april gold up $1.40 to end the day at $554.40/oz in ny,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
